,Lb_name,Lb_adress2,Lb_longitude,Lb_latitude,Cr_name,Cr_adress2,Cr_longitude,Cr_latitude,great-circle distance,haversine distance,walking_distance_in_m,walking_distance_in_km,walking_time_in_s,walking_time_in_min,car_distance_in_m,car_distance_in_km,car_time_in_s,car_time_in_min
613242,Ladbrokes L3889,"38 King Street  ,Bridlington  ,  ,BRIDLINGTON  ,YO15 2DQ",-0.1901983,54.0818679,C3055,"Unit 1  ,5 Prospect Street  ,  ,BRIDLINGTON  ,YO15 2AE",-0.1927252,54.0835203,247,0.24683569,291,0.3 km,229,4 mins,525,0.5 km,106,2 mins
622150,Ladbrokes L3953,"11 Queen Street  ,Glasgow  ,  ,GLASGOW  ,G1 3ED",-4.2526387,55.8584137,C1006,"159 Queen Street  ,Glasgow  ,  ,GLASGOW  ,G1 3BJ",-4.2518401,55.8607421,264,0.263659534,264,0.3 km,196,3 mins,264,0.3 km,97,2 mins
623262,Ladbrokes L3939,"10 Dundas Lane  ,Glasgow  ,  ,GLASGOW  ,G1 2AJ",-4.2528286,55.8624623,C1006,"159 Queen Street  ,Glasgow  ,  ,GLASGOW  ,G1 3BJ",-4.2518401,55.8607421,201,0.200977982,276,0.3 km,191,3 mins,1112,1.1 km,430,7 mins
623263,Ladbrokes L3939,"10 Dundas Lane  ,Glasgow  ,  ,GLASGOW  ,G1 2AJ",-4.2528286,55.8624623,C1005,"Units 10 & 11  ,127-129 West Nile Street  ,  ,GLASGOW  ,G1 2RX",-4.254438386,55.86427039,225,0.224747955,321,0.3 km,258,4 mins,1108,1.1 km,415,7 mins
624374,Ladbrokes L3230,"8 Renfield Street  ,Glasgow  ,  ,GLASGOW  ,G2 5AL",-4.2567485,55.8609478,C1006,"159 Queen Street  ,Glasgow  ,  ,GLASGOW  ,G1 3BJ",-4.2518401,55.8607421,307,0.307152723,389,0.4 km,282,5 mins,2650,2.6 km,835,14 mins
624375,Ladbrokes L3230,"8 Renfield Street  ,Glasgow  ,  ,GLASGOW  ,G2 5AL",-4.2567485,55.8609478,C1005,"Units 10 & 11  ,127-129 West Nile Street  ,  ,GLASGOW  ,G1 2RX",-4.254438386,55.86427039,397,0.396582462,475,0.5 km,394,7 mins,465,0.5 km,224,4 mins
625486,Ladbrokes L3669,"228 Argyle Street  ,Glasgow  ,  ,GLASGOW  ,G2 8HA",-4.2588491,55.8586033,C1006,"159 Queen Street  ,Glasgow  ,  ,GLASGOW  ,G1 3BJ",-4.2518401,55.8607421,498,0.497872121,713,0.7 km,524,9 mins,2427,2.4 km,683,11 mins
626598,Ladbrokes L3173,"86 Gordon Street  ,Glasgow  ,  ,GLASGOW  ,G1 3RP",-4.2582087,55.860774,C1006,"159 Queen Street  ,Glasgow  ,  ,GLASGOW  ,G1 3BJ",-4.2518401,55.8607421,397,0.397437782,474,0.5 km,343,6 mins,2579,2.6 km,789,13 mins
626599,Ladbrokes L3173,"86 Gordon Street  ,Glasgow  ,  ,GLASGOW  ,G1 3RP",-4.2582087,55.860774,C1005,"Units 10 & 11  ,127-129 West Nile Street  ,  ,GLASGOW  ,G1 2RX",-4.254438386,55.86427039,454,0.454426116,600,0.6 km,485,8 mins,626,0.6 km,256,4 mins
627710,Ladbrokes L3938,"130 West Nile Street  ,Glasgow  ,  ,GLASGOW  ,G1 2RQ",-4.2541781,55.8637247,C1006,"159 Queen Street  ,Glasgow  ,  ,GLASGOW  ,G1 3BJ",-4.2518401,55.8607421,362,0.36232158,531,0.5 km,367,6 mins,2058,2.1 km,663,11 mins
627711,Ladbrokes L3938,"130 West Nile Street  ,Glasgow  ,  ,GLASGOW  ,G1 2RQ",-4.2541781,55.8637247,C1005,"Units 10 & 11  ,127-129 West Nile Street  ,  ,GLASGOW  ,G1 2RX",-4.254438386,55.86427039,63,0.062814537,80,80 m,64,1 min,56,56 m,23,1 min
628822,Ladbrokes L3080,"105 Hope Street  ,Glasgow  ,  ,GLASGOW  ,G2 6LL",-4.2589643,55.860645,C1006,"159 Queen Street  ,Glasgow  ,  ,GLASGOW  ,G1 3BJ",-4.2518401,55.8607421,445,0.444705749,505,0.5 km,365,6 mins,2600,2.6 km,797,13 mins
628823,Ladbrokes L3080,"105 Hope Street  ,Glasgow  ,  ,GLASGOW  ,G2 6LL",-4.2589643,55.860645,C1005,"Units 10 & 11  ,127-129 West Nile Street  ,  ,GLASGOW  ,G1 2RX",-4.254438386,55.86427039,492,0.49221089,638,0.6 km,514,9 mins,647,0.6 km,264,4 mins
631047,Ladbrokes L3523,"24 Cambridge Street  ,Glasgow  ,  ,GLASGOW  ,G2 3DZ",-4.2597231,55.865544,C1005,"Units 10 & 11  ,127-129 West Nile Street  ,  ,GLASGOW  ,G1 2RX",-4.254438386,55.86427039,359,0.358873253,438,0.4 km,301,5 mins,733,0.7 km,277,5 mins
696667,Ladbrokes L3732,"15/21 Sunnyside Road  ,Coatbridge  ,  ,COATBRIDGE  ,ML5 3DG",-4.0294685,55.8643595,C2242,"180 Bank Street  ,Coatbridge  ,  ,COATBRIDGE  ,ML5 3JA",-4.0309095,55.8617391,305,0.304934363,349,0.3 km,258,4 mins,377,0.4 km,51,1 min
697779,Ladbrokes L3919,"10 Church Street  ,Coatbridge  ,  ,COATBRIDGE  ,ML5 3EB",-4.0264627,55.8629412,C2242,"180 Bank Street  ,Coatbridge  ,  ,COATBRIDGE  ,ML5 3JA",-4.0309095,55.8617391,308,0.308000558,448,0.4 km,340,6 mins,734,0.7 km,128,2 mins
698891,Ladbrokes L3292,"103 Main Street  ,Coatbridge  ,  ,COATBRIDGE  ,ML5 3EL",-4.023576,55.8622863,C2242,"180 Bank Street  ,Coatbridge  ,  ,COATBRIDGE  ,ML5 3JA",-4.0309095,55.8617391,462,0.46164753,727,0.7 km,553,9 mins,1189,1.2 km,190,3 mins
704452,Ladbrokes L3966,"198/200 Main Street  ,Bellshill  ,  ,BELLSHILL  ,ML4 1AE",-4.0242239,55.8187096,C2666,"249/251 Main Street  ,Bellshill  ,  ,BELLSHILL  ,ML4 1AJ",-4.0221378,55.8191357,139,0.138665527,134,0.1 km,103,2 mins,1466,1.5 km,211,4 mins
706681,Ladbrokes L3568,"18/22 Broomknoll Street  ,Airdrie  ,  ,AIRDRIE  ,ML6 6BN",-3.9809074,55.86541,C2511,"14-16 Stirling Street  ,Airdrie  ,  ,AIRDRIE  ,ML6 0AH",-3.9814447,55.866164,90,0.090295363,126,0.1 km,107,2 mins,106,0.1 km,51,1 min
710021,Ladbrokes L3651,"5/7 Muir Street  ,Motherwell  ,  ,MOTHERWELL  ,ML1 1BH",-3.9932272,55.7905736,C1040,"62 Brandon Parade East  ,Motherwell  ,  ,MOTHERWELL  ,ML1 1LY",-3.991604,55.7908433,106,0.105814329,143,0.1 km,112,2 mins,955,1.0 km,147,2 mins
715584,Ladbrokes L3186,"9 Stewarton Street  ,Wishaw  ,  ,WISHAW  ,ML2 8AA",-3.9187244,55.7732703,C3267,"5 Main Street  ,Wishaw  ,  ,WISHAW  ,ML2 7AF",-3.9197956,55.7735406,73,0.073429705,68,68 m,58,1 min,68,68 m,24,1 min
731155,Ladbrokes L3528,"7 Lint Riggs  ,Falkirk  ,  ,FALKIRK  ,FK1 1DG",-3.7866082,56.0000536,C3064,"142-144 HighStreet  ,Falkirk  ,  ,FALKIRK  ,FK1 1NR",-3.783062,55.999158,242,0.24194853,271,0.3 km,199,3 mins,1537,1.5 km,358,6 mins
735607,Ladbrokes L3455,"43/45 West Blackhall Street  ,Greenock  ,  ,GREENOCK  ,PA15 1UT",-4.7616354,55.9502982,C1025,"42 West Blackhall Street  ,Greenock  ,  ,GREENOCK  ,PA15 1UY",-4.7610298,55.9501706,40,0.040285651,30,30 m,22,1 min,30,30 m,9,1 min
738945,Ladbrokes L3789,"21/25 King Street  ,Stirling  ,  ,STIRLING  ,FK8 1DN",-3.9375995,56.1178251,C3166,"73 Murray Place  ,Stirling  ,  ,STIRLING  ,FK8 1AU",-3.9372636,56.1193303,169,0.168661052,271,0.3 km,190,3 mins,2306,2.3 km,509,8 mins
792335,Ladbrokes L3676,"202/204 Leith Walk  ,Edinburgh  ,  ,EDINBURGH  ,EH6 5EQ",-3.1750104,55.9671689,C2636,"24-26 Great Junction Street  ,Edinburgh  ,  ,EDINBURGH  ,EH6 5LA",-3.172589,55.9711674,469,0.469452995,525,0.5 km,389,6 mins,1573,1.6 km,348,6 mins
821256,Ladbrokes L3506,"21/25 Union Street  ,Dundee  ,  ,DUNDEE  ,DD1 4BN",-2.9710887,56.4589119,C3053,"32 Reform Street  ,Dundee  ,  ,DUNDEE  ,DD1 1RH",-2.9712898,56.4613572,272,0.272185883,349,0.3 km,264,4 mins,1437,1.4 km,387,6 mins
822368,Ladbrokes L3590,"10 Panmure Street  ,Dundee  ,  ,DUNDEE  ,DD1 2BW",-2.9693663,56.4634146,C3053,"32 Reform Street  ,Dundee  ,  ,DUNDEE  ,DD1 1RH",-2.9712898,56.4613572,257,0.257488856,352,0.4 km,261,4 mins,1487,1.5 km,284,5 mins
842454,Ladbrokes L0117,"2A Union Gate  ,Union Street  ,  ,BRISTOL  ,BS1 2DL",-2.5920804,51.4576409,C3161,"20 Nelson Street  ,Bristol  ,  ,BRISTOL  ,BS1 2LE",-2.5929304,51.4565553,134,0.134313394,206,0.2 km,151,3 mins,1266,1.3 km,347,6 mins
853588,Ladbrokes L0700,"27 Upper Borough Walls  ,Bath  ,  ,BATH  ,BA1 1RH",-2.3604309,51.382622,C3029,"Unit C  ,Westpoint  ,  ,BATH  ,BA1 1UN",-2.3635426,51.3807954,296,0.296460124,410,0.4 km,277,5 mins,1152,1.2 km,317,5 mins
862492,Ladbrokes L0274,"2/3 Kingsway Centre  ,Frome  ,  ,FROME  ,BA11 1BT",-2.3201212,51.2305277,C2830,"13a Keyford  ,Frome  ,  ,FROME  ,BA11 1JN",-2.3216908,51.2263231,480,0.480135849,610,0.6 km,586,10 mins,635,0.6 km,120,2 mins
875841,Ladbrokes L1154,"20 St Mary Street  ,Cardiff  ,  ,CARDIFF  ,CF10 1AA",-3.1785875,51.4793589,C3122,"Part Ground floor  ,4 Churchill Way also known as 4a  ,  ,CARDIFF  ,CF10 2DW",-3.1733622,51.4820755,471,0.471364129,704,0.7 km,516,9 mins,3512,3.5 km,854,14 mins
875842,Ladbrokes L1154,"20 St Mary Street  ,Cardiff  ,  ,CARDIFF  ,CF10 1AA",-3.1785875,51.4793589,C1484,"8 St. John Street  ,Cardiff  ,  ,CARDIFF  ,CF10 1GJ",-3.1782338,51.4811383,199,0.19937086,265,0.3 km,196,3 mins,801,0.8 km,216,4 mins
881404,Ladbrokes L2776,"227 Cowbridge Road East  ,Cardiff  ,  ,CARDIFF  ,CF11 9AL",-3.1992748,51.4812656,C3249,"243 Cowbridge Road East  ,Cardiff  ,  ,CARDIFF  ,CF11 9AN",-3.2002478,51.4813306,68,0.067765787,60,60 m,44,1 min,60,60 m,21,1 min
934796,Ladbrokes L1010,"11 Fisherton Street  ,Salisbury  ,  ,SALISBURY  ,SP2 7SU",-1.7997671,51.069215,C3011,"Part of 5 & No.7  ,Winchester Street  ,  ,SALISBURY  ,SP1 1HB",-1.793743313,51.06981765,426,0.426197768,539,0.5 km,409,7 mins,539,0.5 km,149,2 mins
948151,Ladbrokes L2406,"60 Northbrook Street  ,Newbury  ,  ,NEWBURY  ,RG14 1AH",-1.3250298,51.4044046,C1556,"5/7 Market Place  ,Newbury  ,  ,NEWBURY  ,RG14 5AA",-1.3234071,51.4002756,473,0.472722027,582,0.6 km,432,7 mins,2879,2.9 km,428,7 mins
962621,Ladbrokes L0681,"20 Union Street  ,Swansea  ,  ,SWANSEA  ,SA1 3EH",-3.9466662,51.6201282,C1442,"17 Union Street  ,Swansea  ,  ,SWANSEA  ,SA1 3EH",-3.9466182,51.619965,18,0.018447125,107,0.1 km,78,1 min,17,17 m,4,1 min
962622,Ladbrokes L0681,"20 Union Street  ,Swansea  ,  ,SWANSEA  ,SA1 3EH",-3.9466662,51.6201282,C1441,"206 Oxford Street  ,Swansea  ,  ,SWANSEA  ,SA1 3HT",-3.9502243,51.6185669,301,0.300804048,387,0.4 km,295,5 mins,1044,1.0 km,233,4 mins
969296,Ladbrokes L0113,"685 Christchurch Road  ,Boscombe  ,  ,BOURNEMOUTH  ,BH7 6AA",-1.8355414,50.7274553,C1502,"568/570 Christchurch Road  ,Boscombe  ,  ,BOURNEMOUTH  ,BH1 4BH",-1.8401252,50.7266761,334,0.334076436,354,0.4 km,264,4 mins,684,0.7 km,162,3 mins
990471,Ladbrokes L0186,"20 Queen Victoria Street  ,Reading  ,  ,READING  ,RG1 1TG",-0.9720165,51.4561998,C2074,"20 Oxford Road  ,Reading  ,  ,READING  ,RG1 7LA",-0.9781684,51.4553035,438,0.437747781,482,0.5 km,346,6 mins,561,0.6 km,136,2 mins
990473,Ladbrokes L0186,"20 Queen Victoria Street  ,Reading  ,  ,READING  ,RG1 1TG",-0.9720165,51.4561998,C3212,"3-5 Station Road  ,Reading  ,  ,READING  ,RG1 1LG",-0.9723943,51.4571091,104,0.104443153,102,0.1 km,73,1 min,126,0.1 km,52,1 min
990474,Ladbrokes L0186,"20 Queen Victoria Street  ,Reading  ,  ,READING  ,RG1 1TG",-0.9720165,51.4561998,C2083,"11 Friar Street  ,Reading  ,  ,READING  ,RG1 1DB",-0.9711251,51.4568324,94,0.093608498,148,0.1 km,103,2 mins,2315,2.3 km,378,6 mins
1009252,Ladbrokes L2604,"668/672 Prescott Road  ,Liverpool  ,  ,LIVERPOOL  ,L13 5XG",-2.9085618,53.4142201,C3290,"618 Prescot Road  ,Old Swan  ,  ,LIVERPOOL  ,L13 5XE",-2.9120981,53.4133669,253,0.252844643,285,0.3 km,232,4 mins,511,0.5 km,145,2 mins
1036918,Ladbrokes L2869,"45-47 London Street  ,Southport  ,  ,SOUTHPORT  ,PR9 0TH",-3.0015312,53.6471501,C3210,"2 Chapel Street  ,Southport  ,  ,SOUTHPORT  ,PR8 1AF",-3.0055617,53.6461512,288,0.287944936,385,0.4 km,275,5 mins,1163,1.2 km,290,5 mins
1075017,Ladbrokes L2491,"7 Thurlow Street  ,Bedford  ,  ,BEDFORD  ,MK40 1LR",-0.470742,52.1373169,C2738,"97 Tavistock Street  ,Bedford  ,  ,BEDFORD  ,MK40 2RR",-0.472031,52.1413812,460,0.460412052,587,0.6 km,451,8 mins,664,0.7 km,161,3 mins
1075018,Ladbrokes L2491,"7 Thurlow Street  ,Bedford  ,  ,BEDFORD  ,MK40 1LR",-0.470742,52.1373169,C1845,"21 All Hallows  ,Bedford  ,  ,BEDFORD  ,MK40 1LN",-0.4698163,52.1381511,112,0.112229851,179,0.2 km,135,2 mins,531,0.5 km,143,2 mins
1075019,Ladbrokes L2491,"7 Thurlow Street  ,Bedford  ,  ,BEDFORD  ,MK40 1LR",-0.470742,52.1373169,C1844,"84 Midland Road  ,Bedford  ,  ,BEDFORD  ,MK40 1QH",-0.473871,52.1355296,292,0.291722803,360,0.4 km,279,5 mins,295,0.3 km,101,2 mins
1079475,Ladbrokes L2653,"55a West Street  ,Boston  ,  ,BOSTON  ,PE21 8QN",-0.0284659,52.9762791,C1211,"22 Market Place  ,Boston  ,  ,BOSTON  ,PE21 6EH",-0.0233378,52.9776374,375,0.375101347,438,0.4 km,336,6 mins,1928,1.9 km,455,8 mins
1080587,Ladbrokes L3125,"46 Market Place  ,Boston  ,  ,BOSTON  ,PE21 6NF",-0.0243946,52.9779786,C1211,"22 Market Place  ,Boston  ,  ,BOSTON  ,PE21 6EH",-0.0233378,52.9776374,80,0.080286152,103,0.1 km,81,1 min,152,0.2 km,97,2 mins
1080588,Ladbrokes L3125,"46 Market Place  ,Boston  ,  ,BOSTON  ,PE21 6NF",-0.0243946,52.9779786,C1212,"17a Wide Bargate  ,Boston  ,  ,BOSTON  ,PE21 6SR",-0.0213627,52.9797415,282,0.28219022,302,0.3 km,231,4 mins,1559,1.6 km,370,6 mins
1080589,Ladbrokes L3125,"46 Market Place  ,Boston  ,  ,BOSTON  ,PE21 6NF",-0.0243946,52.9779786,C3222,"6 Artillery Row  ,Boston  ,  ,BOSTON  ,PE21 6TY",-0.0186118,52.9777773,388,0.387823172,513,0.5 km,393,7 mins,1982,2.0 km,431,7 mins
1083929,Ladbrokes L0939,"Unit 1  ,14/17 Church Terrace  ,  ,WISBECH  ,PE13 1BL",0.162919,52.6636698,C1235,"47-47a Market Place  ,Wisbech  ,  ,WISBECH  ,PE13 1DP",0.1618971,52.6650702,170,0.170285699,187,0.2 km,140,2 mins,187,0.2 km,93,2 mins
1095069,Ladbrokes L1033,"1-4 Derrys Cross  ,Plymouth  ,  ,PLYMOUTH  ,PL1 2SU",-4.1460557,50.3689979,C1424,"97 Cornwall Street  ,Plymouth  ,  ,PLYMOUTH  ,PL1 1NX",-4.1454194,50.3721642,355,0.354957365,547,0.5 km,401,7 mins,943,0.9 km,292,5 mins
1179348,Ladbrokes L3261,"31/33 Nelson Street  ,Newcastle Upon Tyne  ,  ,NEWCASTLE-UPON-TYNE  ,NE1 5AN",-1.6145468,54.97325,C3300,"Unit 4  ,Haymarket  ,  ,NEWCASTLE-UPON-TYNE  ,NE1 7PF",-1.6140073,54.9773671,459,0.459094124,658,0.7 km,485,8 mins,964,1.0 km,322,5 mins
1226078,Ladbrokes L3801,"2 High Street  ,Spennymore  ,  ,SPENNYMOOR  ,DL16 6DB",-1.6018055,54.6988013,C2933,"39 Cheapside  ,Spennymoor  ,  ,SPENNYMOOR  ,DL16 6QF",-1.5989023,54.7004101,258,0.258459936,301,0.3 km,210,4 mins,1098,1.1 km,183,3 mins
1230736,Ladbrokes L0945,"3 Princes Street  ,Ipswich  ,  ,IPSWICH  ,IP1 1PN",1.1526128,52.0570384,C1209,"36 Lloyds Avenue  ,Ipswich  ,  ,IPSWICH  ,IP1 3HD",1.1534302,52.0589305,218,0.217688011,226,0.2 km,184,3 mins,1323,1.3 km,294,5 mins
1230737,Ladbrokes L0945,"3 Princes Street  ,Ipswich  ,  ,IPSWICH  ,IP1 1PN",1.1526128,52.0570384,C1203,"5/5a Upper Brook Street  ,Ipswich  ,  ,IPSWICH  ,IP4 1EG",1.1565269,52.0574176,271,0.270912269,553,0.6 km,411,7 mins,1360,1.4 km,344,6 mins
1254105,Ladbrokes L2425,"38 Newland Street  ,Witham  ,  ,WITHAM  ,CM8 2DY",0.6402555,51.8003848,C1911,"43-45 Newland Street  ,Witham  ,  ,WITHAM  ,CM8 2BD",0.6401447,51.799643,83,0.082835647,93,93 m,73,1 min,102,0.1 km,26,1 min
1255218,Ladbrokes L2957,"8/10 Bank Street  ,Braintree  ,  ,BRAINTREE  ,CM7 1UL",0.5513954,51.8795003,C1910,"15 Great Square  ,Braintree  ,  ,BRAINTREE  ,CM7 1TX",0.5517948,51.8787967,83,0.082901436,111,0.1 km,80,1 min,132,0.1 km,52,1 min
1269693,Ladbrokes L2162,"12/12a White Lion Street  ,Norwich Norfolk  ,  ,NORWICH  ,NR2 1QA",1.294028,52.627652,C3097,"19 St. Stephen's Street  ,Norwich  ,  ,NORWICH  ,NR1 3QN",1.2928569,52.6253945,263,0.263174074,324,0.3 km,245,4 mins,246,0.2 km,63,1 min
1272544,Ladbrokes L1773,"Unit 1 & 2 Gibralter House  ,High Street  ,  ,WICKFORD  ,SS12 9AX",-122.2552023,37.8677801,C2409,"Unit 1 & 2  ,208 Huddersfield Road  ,  ,BRADFORD  ,BD12 0AD",-122.2552023,37.8677801,0,0,0,1 m,0,1 min,0,1 m,0,1 min
1272912,Ladbrokes L1773,"Unit 1 & 2 Gibralter House  ,High Street  ,  ,WICKFORD  ,SS12 9AX",-122.2552023,37.8677801,C1664,"Unit 3 & 4  ,St. John's Centre  ,  ,SOUTHAMPTON  ,SO30 4QU",-122.2603811,37.8672629,458,0.458223381,505,0.5 km,349,6 mins,1110,1.1 km,225,4 mins
1287514,Ladbrokes L2756,"16 Theatre Plain  ,Great Yarmouth  ,  ,GREAT YARMOUTH  ,NR30 2BE",1.7279638,52.6072914,C1189,"112 Regent Road  ,Great Yarmouth  ,  ,GREAT YARMOUTH  ,NR30 2AE",1.7296361,52.6069956,118,0.117616717,149,0.1 km,105,2 mins,1482,1.5 km,408,7 mins
1298997,Ladbrokes L0758,"78b South Street  ,Romford  ,  ,ROMFORD  ,RM1 1RX",0.182297,51.5761877,C3067,"80 South Street  ,Romford  ,  ,ROMFORD  ,RM1 1RX",0.1822128,51.5759805,24,0.02376301,17,17 m,12,1 min,23,23 m,8,1 min
1300109,Ladbrokes L0884,"149 South Street  ,ROMFORD  ,  ,ROMFORD  ,RM1 1PL",0.1839104,51.5745368,C3067,"80 South Street  ,Romford  ,  ,ROMFORD  ,RM1 1RX",0.1822128,51.5759805,199,0.198829995,197,0.2 km,143,2 mins,246,0.2 km,157,3 mins
1310902,Ladbrokes L2978,"4/5A Windmill Street  ,Gravesend  ,  ,GRAVESEND  ,DA12 1AD",0.3694396,51.4415412,C1617,"27/28 King Street  ,Gravesend  ,  ,GRAVESEND  ,DA12 2DU",0.3698399,51.4422919,88,0.087964077,143,0.1 km,102,2 mins,2118,2.1 km,386,6 mins
